Location,Age,year,Female,Male
More developed regions,0-4,1950,0.04984413735548956,0.051887533442969
More developed regions,0-4,1955,0.04954362990641232,0.05178672651342503
More developed regions,0-4,1960,0.04772656586765901,0.049915697690280404
More developed regions,0-4,1965,0.044452651703247595,0.0465372264706856
More developed regions,0-4,1970,0.040228944730195657,0.04206740423202668
More developed regions,0-4,1975,0.037949703075311855,0.03976101044053208
More developed regions,0-4,1980,0.03514641879153487,0.03694399358892687
More developed regions,0-4,1985,0.03424497785177464,0.03589645143985891
More developed regions,0-4,1990,0.033034194376304005,0.03467713071033863
More developed regions,0-4,1995,0.029674727229195882,0.03120190169990081
More developed regions,0-4,2000,0.02693710076315194,0.02833061670653951
More developed regions,0-4,2005,0.026575114082370864,0.02794956062367786
More developed regions,0-4,2010,0.02748856465344097,0.028917173104583208
More developed regions,0-4,2015,0.02689836776302125,0.028318846046415023
More developed regions,0-4,2020,0.025829612049263886,0.027178070314598377
More developed regions,0-4,2025,0.024845064619485574,0.02613339659243606
More developed regions,0-4,2030,0.02413904112571617,0.025388644549645102
More developed regions,0-4,2035,0.02382137270048795,0.025056577992228532
More developed regions,0-4,2040,0.023949197964811434,0.02519283800054375
More developed regions,0-4,2045,0.024185286103542234,0.025444141689373298
More developed regions,0-4,2050,0.024218109085795095,0.025479135251697385
More developed regions,0-4,2055,0.024029476199334838,0.025279106294697627
More developed regions,0-4,2060,0.023805803483352667,0.025040839035015035
More developed regions,0-4,2065,0.023698062546317823,0.02492553443030864
More developed regions,0-4,2070,0.023759540691402636,0.024989774627202442
More developed regions,0-4,2075,0.023913709902694726,0.025151936940866856
More developed regions,0-4,2080,0.02402757657596199,0.02527157229019611
More developed regions,0-4,2085,0.024013260226314507,0.025254396830921663
More developed regions,0-4,2090,0.023876068998187942,0.025109041233390465
More developed regions,0-4,2095,0.023711152853990697,0.024933418677508378
More developed regions,0-4,2100,0.023608511472743243,0.02482365544560503
More developed regions,5-9,1950,0.040746422522765766,0.041988414619179695
More developed regions,5-9,1955,0.04637969529053827,0.04819245051652534
More developed regions,5-9,1960,0.04655670080591917,0.048572317194942954
More developed regions,5-9,1965,0.045298895951269576,0.04729243221769788
More developed regions,5-9,1970,0.04289342190464008,0.04490243967740688
More developed regions,5-9,1975,0.03879955818979907,0.040506898992192016
More developed regions,5-9,1980,0.03670487090144637,0.038574459481168395
More developed regions,5-9,1985,0.03431494794404546,0.036035494571935535
More developed regions,5-9,1990,0.03353440825483846,0.03510576075285244
More developed regions,5-9,1995,0.032749598111981394,0.034379382289564595
More developed regions,5-9,2000,0.029666910980754163,0.031198432126264664
More developed regions,5-9,2005,0.026761185365038777,0.02812488112112496
More developed regions,5-9,2010,0.02630777603566014,0.02765863708810076
More developed regions,5-9,2015,0.027236576878115006,0.028652280444589808
More developed regions,5-9,2020,0.026829371729969072,0.028251653569526886
More developed regions,5-9,2025,0.02579863316639381,0.027133004864604193
More developed regions,5-9,2030,0.024898756461857158,0.026178686291220582
More developed regions,5-9,2035,0.024251481896983413,0.02549600363341343
More developed regions,5-9,2040,0.023988037441255293,0.02522080242358333
More developed regions,5-9,2045,0.024155702608018685,0.025400544959128066
More developed regions,5-9,2050,0.024425936198638965,0.02568774366947676
More developed regions,5-9,2055,0.024487098275714554,0.025752427241622102
More developed regions,5-9,2060,0.024315600905955793,0.025571154620137787
More developed regions,5-9,2065,0.02409478907637303,0.02533495620932561
More developed regions,5-9,2070,0.023973217097620618,0.02520584293349003
More developed regions,5-9,2075,0.024013760568351812,0.02524798557989766
More developed regions,5-9,2080,0.02414154263494344,0.025381525459776802
More developed regions,5-9,2085,0.024228690673228186,0.025473846502591196
More developed regions,5-9,2090,0.024190545282574232,0.02543156038950019
More developed regions,5-9,2095,0.024035214121673348,0.0252671294122188
More developed regions,5-9,2100,0.023862470133738167,0.02508323977314098
More developed regions,10-14,1950,0.04434844505534965,0.045295893571586365
More developed regions,10-14,1955,0.03841375241488611,0.03952662448087179
More developed regions,10-14,1960,0.04394523896567341,0.045749144699867406
More developed regions,10-14,1965,0.04408849769920879,0.04605513622670242
More developed regions,10-14,1970,0.04351714953498081,0.045591614086129946
More developed regions,10-14,1975,0.041359615571711174,0.043312088545173946
More developed regions,10-14,1980,0.037810928737746115,0.039869784309489384
More developed regions,10-14,1985,0.03595206869268956,0.037799099718146115
More developed regions,10-14,1990,0.033842567939171196,0.03537289067751482
