sex,year,age,pop,pcnt
Female,1950,0-4,166077,0.06547664809332483
Female,1950,5-9,131785,0.051956863797990166
Female,1950,10-14,127343,0.050205584145596706
Female,1950,15-19,117333,0.04625909397890185
Female,1950,20-24,109690,0.04324580483364223
Female,1950,25-29,98538,0.03884907572884892
Female,1950,30-34,84667,0.03338036792642891
Female,1950,35-39,83025,0.03273300160737667
Female,1950,40-44,74400,0.029332554285923802
Female,1950,45-49,64902,0.02558792255732563
Female,1950,50-54,55078,0.021714763776345583
Female,1950,55-59,46114,0.018180664090606053
Female,1950,60-64,39067,0.01540235078344335
Female,1950,65-69,30066,0.011853663671513241
Female,1950,70-74,20807,0.008203258831010975
Female,1950,75-79,12558,0.004951051300035364
Female,1950,80-84,5751,0.002267359135730481
Female,1950,85-89,2178,8.586868714347049e-4
Female,1950,90-94,631,2.4877475476368173e-4
Female,1950,95-99,139,5.480141190515334e-5
Female,1950,100+,25,9.85636904768945e-6
Female,1955,0-4,199236,0.07184794356195387
Female,1955,5-9,154926,0.05586899207110796
Female,1955,10-14,128616,0.04638115154472213
Female,1955,15-19,124828,0.045015133303979084
Female,1955,20-24,114283,0.041212424130632884
Female,1955,25-29,106315,0.03833902567703189
Female,1955,30-34,95222,0.03433869823654546
Female,1955,35-39,81378,0.029346312670324046
Female,1955,40-44,79460,0.028654648735333244
Female,1955,45-49,70485,0.025418108684998286
Female,1955,50-54,61386,0.022136852092463712
Female,1955,55-59,50850,0.01833738847459974
Female,1955,60-64,41066,0.014809109048139882
Female,1955,65-69,32639,0.011770187264945152
Female,1955,70-74,22949,0.008275805862410807
Female,1955,75-79,13811,0.004980485196119902
Female,1955,80-84,6843,0.0024677040183222424
Female,1955,85-89,2313,8.34107758933121e-4
Female,1955,90-94,620,2.235827109980696e-4
Female,1955,95-99,118,4.255283854479389e-5
Female,1955,100+,18,6.491110964460085e-6
Female,1960,0-4,212402,0.06998529136539886
Female,1960,5-9,187554,0.06179801196196843
Female,1960,10-14,151839,0.050030115797548035
Female,1960,15-19,126068,0.04153871296811284
Female,1960,20-24,122023,0.040205907704635856
Female,1960,25-29,111277,0.03666515977847425
Female,1960,30-34,103287,0.03403249870179166
Female,1960,35-39,92107,0.030348750161452307
Female,1960,40-44,77941,0.025681131036009795
Female,1960,45-49,75953,0.025026095964614928
Female,1960,50-54,66936,0.022055044033645343
Female,1960,55-59,57056,0.018799638346833823
